"PACZKI POCZTOWE EKONOMICZNE I PRIORYTETOWE","","","",""
"- informacje o podziale krajów i terytoriów na strefy","","","",""
"Poz.","Nazwa kraju lub terytorium","","Strefa, do której zaliczono dany  kraj lub dane terytorium",""
"","","","paczki pocztowe ekonomiczne","paczki pocztowe priorytetowe"
"1","2","","3","4"
"1","Afganistan","","30","C"
"2","Afryka Południowa Republika","","Patrz: Republika Południowej Afryki (RPA)",""
"3","Albania","","10","A2"
"4","Algieria","","20","B"
"5","Angola","","20","B"
"6","Anguilla","","30","C"
"7","Antigua i Barbuda","","30","C"
"8","Antyle Holenderskie","","Patrz: Curaçao oraz Bonaire, Saba, Świętego Eustachego Wyspa (Sint Eustatius) i Sint Maarten (d. Antyle Holenderskie)",""
"9","Arabia Saudyjska","","30","C"
"10","Argentyna","","30","C"
"11","Armenia","","30","C"
"12","Aruba","","30","C"
"13","Australia","","40","D"
"14","Austria","","10","A1"
"15","Azerbejdżan","","30","C"
"16","Bahamy","","30","C"
"17","Bahrajn","","30","C"
"18","Bangladesz","","30","C"
"19","Barbados","","30","C"
"20","Belgia","","11","A2"
"21","Belize","","30","C"
"22","Benin (ex Dahomej)","","20","B"
"23","Bermudy","","20","B"
"24","Bhutan","","30","C"
"25","Białoruś","","11","A1"
"26","Birma","","Patrz: Myanmar (Birma)",""
"27","Boliwia","","30","C"
"28","Bośnia i Hercegowina","","10","A1"
"1","2","","3","4"
"29","Botswana","","20","B"
"30","Brazylia","","30","C"
"31","Brunei (Brunei Darussalam)","","30","C"
"32","Brytyjskie Wyspy Dziewicze","","30","C"
"33","Bułgaria","","10","A1"
"34","Burkina Faso","","20","B"
"35","Burundi","","20","B"
"36","Chile","","30","C"
"37","Chińska Republika Ludowa
z wyjątkiem specjalnego regionu administracyjnego Honkongu i Makau (Macao)","","30","C"
"","Hongkong specjalny region administracyjny","","30","C"
"","Makau (Macao)","","30","C"
"38","Chorwacja","","10","A1"
"39","Curaçao oraz Bonaire, Saba, Świętego Eustachego Wyspa (Sint Eustatius) i Sint Maarten (d. Antyle Holenderskie)","","30","C"
"40","Cypr","","10","A2"
"41","Czad","","20","B"
"42","Czarnogóra","","20","A2"
"43","Czechy","","12","A4"
"44","Dania z Grenlandią i Wyspami Owczymi","","10","A1"
"45","Dominika","","30","C"
"46","Dominikana","","30","C"
"47","Dżibuti","","20","B"
"48","Egipt","","20","B"
"49","Ekwador","","30","C"
"50","Erytrea","","20","B"
"51","Estonia","","10","A1"
"52","Etiopia","","20",""
"53","Falklandy (Malwiny)","","30",""
"54","Fidżi","","40","D"
"55","Filipiny","","30","C"
"56","Finlandia","","11","A2"
"1","2","","3","4"
"57","Francja z Korsyką oraz Andorą i  Monako (bez departamentów zamorskich)","","10","A2"
"58","Gabon","","20","B"
"59","Gambia","","20","B"
"60","Ghana","","20","B"
"61","Gibraltar","","10","A2"
"62","Grecja","","10","A2"
"63","Grenada","","30","C"
"64","Gruzja","","30","C"
"65","Gujana","","30","C"
"66","Gujana Francuska","","30","C"
"67","Gwadelupa","","30","C"
"68","Gwatemala","","30","C"
"69","Gwinea","","20","B"
"70","Gwinea Bissau","","20","B"
"71","Gwinea Równikowa","","20","B"
"72","Haiti","","30","C"
"73","Hiszpania z Balearami
(Majorką, Minorką, Ibizą, Formenterą, Cabrerą) i Wyspami Kanaryjskimi oraz Ceutą i Melillą","","10","A2"
"74","Holandia","","10","A1"
"75","Honduras","","30","C"
"76","Indie","","30","C"
"77","Indonezja","","30","C"
"78","Irak","","30","C"
"79","Iran","","30","C"
"80","Irlandia (Eire)","","10","A2"
"81","Islandia","","10","A2"
"82","Izrael","","10","A2"
"83","Jamajka","","30","C"
"84","Japonia","","30","C"
"85","Jemen","","30","C"
"86","Jordania","","30","C"
"87","Kajmany","","30","C"
"1","2","","3","4"
"88","Kambodża","","30","C"
"89","Kamerun","","20","B"
"90","Kanada","","20","B"
"91","Katar","","30","C"
"92","Kazachstan","","30","C"
"93","Kenia","","20","B"
"94","Kirgistan","","30","C"
"95","Kiribati","","40","D"
"96","Kolumbia","","30","C"
"97","Komory","","20","B"
"98","Kongo","","20","B"
"99","Kongo Republika Demokratyczna (d. Zair)","","20","B"
"100","Korea Południowa (Republika)","","30","C"
"101","Korea Północna (Koreańska Republika Ludowo - Demokratyczna)","","30","C"
"102","Kosowo","","10","A2"
"103","Kostaryka","","30","C"
"104","Kuba
(wszystkie miejscowości oprócz Guantaname Bay)*
* nie dot. paczek priorytetowych","","30","C"
"105","Kuwejt","","30","C"
"106","Laos","","30","C"
